Instance Name; Instance ID, AWS Region
SC-STAGE-EW1-A_STDWorker_i-a84046e5;i-a84046e5;
SC-PROD-EW1-B_VideoWorker_i-222b186f;i-222b186f;
SC-DEV-QE1_VideoStreamingWorker_i-24fe954a;i-24fe954a;
SC-PROD-UE1-B_ExportPDFWorker_i-c6bdfba7;i-c6bdfba7;
SC-STAGE-EW1-A_STDWorker_i-a24046ef;i-a24046ef;
SC-PROD-EW1-B_PSLWorker_i-be99baf3;i-be99baf3;
SC-PROD-UE1-B_PDFWorker_i-4fcf4b22;i-4fcf4b22;
SC-STAGE-EW1-A_STDWorker_i-18424455;i-18424455;
SC-LABS_ActionsWorker_i-c290b3a8;i-c290b3a8;
SC-STAGE-AN1-A_XMPWorker_i-aa6838a8;i-aa6838a8;
SC-STAGE-EW1-A_ServiceContainer_i-dfc92e93;i-dfc92e93;
SC-PROD-UE1-B_ExportPDFWorker_i-525be531;i-525be531;
SC-PROD-EW1-A_PDFWorker_i-e151b8af;i-e151b8af;
SC-PROD-UE1-B_PSLWorker_i-2061494c;i-2061494c;
SC-DEV-EU-QE1_ServiceContainer_i-f46473b9;i-f46473b9;
SC-PROD-EW1-B_PDFWorker_i-b8e6bbf5;i-b8e6bbf5;
SC-STAGE-UE1-A_ServiceContainer_i-d66981ba;i-d66981ba;
SC-PROD-EW1-B_XMPWorker_i-0f38dc43;i-0f38dc43;
SC-STAGE-UE1-A_STDWorker_i-d6b396be;i-d6b396be;
SC-PROD-UE1-B_ExportPDFWorker_i-2299c84b;i-2299c84b;
SC-PROD-UE1-B_CreatePDFWorker-ETC_i-e08fcb8a;i-e08fcb8a;
SC-STAGE-UE1-A_CombinePDFLinuxWorker_i-976a7ff8;i-976a7ff8;
SC-PROD-EW1-A_IDWorker_i-da041a97;i-da041a97;
SC-PROD-EW1-B_IDWorker_i-f885a3b5;i-f885a3b5;
SC-PROD-EW1-B_VideoWorker_i-a0eeeeed;i-a0eeeeed;
SC-LABS_ServiceContainer_i-785be31d;i-785be31d;
SC-STAGE-EW1-A_PSLWorker_i-2642446b;i-2642446b;
SC-PROD-UE1-B_STDWorker_i-1e118770;i-1e118770;
SC-STAGE-EW1-A_STDWorker_i-f64244bb;i-f64244bb;
SC-DEV-EU-QE1_OscarContainer_i-74300739;i-74300739;
SC-DEV-QE1_IDWorker_i-cdac01a7;i-cdac01a7;
SC-PROD-UE1-B_CreatePDFWorker-ETC_i-99b9eff4;i-99b9eff4;
SC-PROD-EW1-B_ServiceContainer_i-0643094b;i-0643094b;
SC-STAGE-UE1-A_PSLWorker_i-dd478eb0;i-dd478eb0;
SC-PROD-UE1-B_STDWorker_i-55b49437;i-55b49437;
SC-PROD-UE1-B_STDWorker_i-ff35c09d;i-ff35c09d;
SC-PROD-UE1-B_ExportPDFWorker_i-732a2913;i-732a2913;
SC-STAGE-EW1-A_PSLWorker_i-7c3b3931;i-7c3b3931;
SC-STAGE-UE1-A_ComboIdeasLuckyWorker_i-2a3d984b;i-2a3d984b;
SC-STAGE-UE1-A_ServiceContainer_i-d6cf4bbc;i-d6cf4bbc;
SC-PROD-EW1-B_VideoStreamingWorker_i-e09abbad;i-e09abbad;
SC-PROD-UE1-B_CombinePDFLinuxWorker_i-0224ac67;i-0224ac67;
SC-PROD-EW1-B_PSLWorker_i-bec4c4f3;i-bec4c4f3;
SC-DEV-QE2_CollageWorker_i-77449615;i-77449615;
SC-PROD-UE1-B_ExportPDFWorker_i-fd5e0f92;i-fd5e0f92;
SC-DEV-PERMANENT_Solr4-bebers;i-5efbb532;
SC-DEV-QE2_PhotoDNAWorker_i-ea4e9d82;i-ea4e9d82;
SC-PROD-UE1-B_VideoRightsWorker_i-b5929fda;i-b5929fda;
SC-DEV-BAT-A_ServiceContainer_i-6a6fdb04;i-6a6fdb04;
SC-STAGE-UE1-A_ServiceContainer_i-c36745a3;i-c36745a3;
SC-PROD-UE1-B_ExportPDFWorker_i-4e03e12d;i-4e03e12d;
SC-PROD-UE1-B_ExportPDFWorker_i-4107b323;i-4107b323;
SC-PROD-EW1-A_VideoStreamingWorker_i-ea8d90a7;i-ea8d90a7;
SC-PROD-UE1-PERMANENT_AMSServer_i-1fecf377;i-1fecf377;
SC-PROD-EW1-B_VideoStreamingWorker_i-dec89a93;i-dec89a93;
jenkinsCITWorker_54;i-edf88289;
